"Date","City","State","AreaType","School","Fatalities","Wounded","lat","lng"
"9/2/06","Shepherdstown","West Virginia","suburban","C",3,0,39.4318,-77.8048
"9/17/06","Pittsburgh","Pennsylvania","urban","HS",0,5,40.4396,-79.9762
"9/27/06","Bailey","Colorado","suburban","HS",2,0,39.405659, -105.477820
"9/29/06","Cazenovia","Wisconsin","suburban","HS",1,0,43.5237,-90.1991
"10/2/06","Nickel Mines","Pennsylvania","suburban","HS",6,3,39.958457, -76.081233
"10/9/06","Joplin","Missouri","suburban","MS",0,0,37.0758,-94.5018
"10/17/06","Katy","Texas","suburban","HS",1,2,29.7904,-95.8353
"10/29/06","Fresno","California","urban","ES",1,2,36.7831,-119.7941
"11/28/06","Houston","Texas","urban","HS",1,2,29.7863,-95.3889
"12/12/06","Erdenheim","Pennsylvania","suburban","MS",1,2,40.088560, -75.211737
"1/3/07","Tacoma","Washington","urban","HS",1,0,47.2431,-122.4531
"2/8/07","Prineville","Oregon","suburban","HS",1,2,44.2985,-120.8607
"3/7/07","Midland","Michigan","urban","HS",0,0,43.6241,-84.2319
"3/7/07","Greenville","Texas","suburban","HS",0,0,33.1116,-96.1098
"3/7/07","Compton","California","suburban","HS",0,1,33.893,-118.2275
"3/24/07","Greensboro","North Carolina","urban","C",0,0,36.0956,-79.8269
"4/2/07","Seattle","Washington","urban","C",1,2,47.6211,-122.3244
"4/10/07","Gresham","Oregon","urban","HS",0,0,45.5023,-122.4413
"4/16/07","Blacksburg","Virginia","suburban","C",33,23,37.23,-80.4279
"9/21/07","Dover","Delaware","urban","C",1,2,39.161,-75.5203
"9/28/07","Oroville","California","suburban","HS",0,0,39.4999,-121.5634
"9/30/07","Memphis","Tennessee","urban","C",1,2,35.1046,-89.9773
"10/10/07","Cleveland","Ohio","urban","HS",1,4,41.4767,-81.6804
"11/6/07","Miami Gardens","Florida","urban","HS",0,1,25.9433,-80.2426
"1/15/08","Putnam City","Oklahoma","suburban","HS",0,0,35.585402, -97.639955
"1/16/08","Cleveland","Ohio","urban","HS",0,0,41.4767,-81.6804
"1/16/08","Charlotte","North Carolina","urban","HS",0,0,35.208,-80.8304
"2/4/08","Memphis","Tennessee","urban","HS",0,1,35.1046,-89.9773
"2/7/08","Portsmouth","Ohio","suburban","ES",0,0,38.7539,-82.9446
"2/8/08","Baton Rouge","Louisiana","urban","C",3,0,30.4418,-91.131
"2/11/08","Memphis","Tennessee","urban","HS",0,1,35.1046,-89.9773
"2/12/08","Oxnard","California","urban","HS",1,0,34.1963,-119.1815
"2/14/08","DeKalb","Illinois","suburban","C",6,21,41.9313,-88.7482
"2/23/08","Jonesboro","Arkansas","urban","C",0,0,35.8212,-90.6791
"2/27/08","Little Rock","Arkansas","urban","C",0,0,34.7256,-92.3576
"2/28/08","Miami Gardens","Florida","urban","HS",0,0,25.9433,-80.2426
"3/6/08","Mobile","Alabama","urban","HS",1,2,30.6783,-88.1162
"3/7/08","Chicago","Illinois","urban","HS",1,2,41.8373,-87.6862
"4/5/08","Chicago","Illinois","urban","HS",1,2,41.8373,-87.6862
"4/16/08","Fresno","California","urban","HS",1,2,36.7831,-119.7941
"4/24/08","Omaha","Nebraska","urban","MS",0,0,41.2627,-96.0522
"4/29/08","Washington","District of Columbia","urban","C",0,0,38.9047,-77.0163
"7/24/08","Phoenix","Arizona","urban","C",0,0,33.5722,-112.0891
"8/14/08","Federal Way","Washington","suburban","MS",1,0,47.3091,-122.3358
"8/21/08","Knoxville","Tennessee","urban","HS",1,0,35.9692,-83.9496
"8/29/08","Portland","Oregon","urban","HS",0,0,45.5372,-122.65
"9/2/08","Willoughby","Ohio","suburban","HS",0,0,41.646,-81.4084
"10/13/08","San Antonio","Texas","urban","C",1,2,29.4658,-98.5253
"10/16/08","Detroit","Michigan","urban","HS",1,3,42.3834,-83.1024
